"","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000145920","CPLX2",-1.86644875448137,-3.72238595935026,-5.13338565373108,9.86543938017791e-05,0.678914239556367,-4.12042553423251
"ENSG00000135744","AGT",-0.781487344448001,-0.786885223020175,-4.99363175272328,0.000130749655830074,0.678914239556367,-3.6608664495913
"ENSG00000162747","FCGR3B",0.872216478652545,2.59106300187301,4.77250004454722,0.000205080740759319,0.678914239556367,-2.31070236288752
"ENSG00000186407","CD300E",0.340485406079778,7.57118560720532,4.45405817145972,0.000395543932733104,0.678914239556367,-0.99113510392556
"ENSG00000119139","TJP2",0.528014577718647,4.71999366911965,4.15268498888548,0.000742303239413005,0.678914239556367,-1.7331558213976
"ENSG00000204681","GABBR1",-0.339629697475125,3.03481211885405,-4.11306604649068,0.000806715522076714,0.678914239556367,-2.26058175789997
"ENSG00000111245","MYL2",-1.24199057128674,-1.5538611821332,-4.11000127465808,0.00081192824530764,0.678914239556367,-3.98536830175939
"ENSG00000283934","IGSF6",0.274933816302794,6.26993265406189,4.06366718109607,0.000895024020998569,0.678914239556367,-1.48572910823321
"ENSG00000130307","USHBP1",-0.735067813396242,-0.731560029272025,-4.01838244548648,0.000984556763774957,0.678914239556367,-3.7739967533784
"ENSG00000149403","GRIK4",-1.7147233862136,-0.539398087756715,-3.98767129442156,0.00105037932989963,0.678914239556367,-3.70111481932337
"ENSG00000240247","DEFA1B",-2.74471177022542,-0.290394034170037,-3.90819174757074,0.00124212387886952,0.678914239556367,-3.62039931465836
"ENSG00000135047","CTSL",0.331285350574126,3.65721879413664,3.84841553690492,0.00140928743630791,0.678914239556367,-2.32393084576666
"ENSG00000254788","CKLF-CMTM1",0.6795898858473,-0.223059757130779,3.81772558541998,0.00150373554072986,0.678914239556367,-3.9549156584323
"ENSG00000233312","C4B_2",-1.18724907520436,-3.39810714540178,-3.80652810989368,0.00153975996808034,0.678914239556367,-4.28900352677816
"ENSG00000213876","RPL7AP64",0.491495778724756,2.21989043174895,3.79444883962877,0.00157959524193518,0.678914239556367,-3.07771079459048
"ENSG00000236222","WDR46",1.05272833614476,2.89474875579352,3.79270934689282,0.00158541652031953,0.678914239556367,-2.76993447617325
"ENSG00000172243","CLEC7A",0.341483553011483,6.23047984563099,3.76996714377195,0.00166353825179518,0.678914239556367,-1.82846976842132
"ENSG00000181481","RNF135",0.241635575125562,4.31403339303716,3.71236343316516,0.0018791596748025,0.678914239556367,-2.19050238728725
"ENSG00000176597","B3GNT5",0.501633493281519,2.54352055513058,3.70694291579938,0.00190084068066688,0.678914239556367,-2.97604991269774
"ENSG00000116991","SIPA1L2",0.419123253641994,3.0189569543238,3.69001815289045,0.00197016442250627,0.678914239556367,-2.81019792676025
"ENSG00000164308","ERAP2",0.999463204541174,6.58707525086768,3.68571245537243,0.00198820145501944,0.678914239556367,-2.00555494741874
"ENSG00000095464","PDE6C",-0.854605322723068,-1.10221980593153,-3.68488195831117,0.00199169949551208,0.678914239556367,-3.93650687977126
"ENSG00000204472","AIF1",0.319726324799362,7.32074081559332,3.67553655365348,0.00203149006497304,0.678914239556367,-1.88905108312121
"ENSG00000184060","ADAP2",0.319921197395108,4.71773813747503,3.67419411398563,0.00203727093932617,0.678914239556367,-2.14800949516815
"ENSG00000137070","IL11RA",-0.438947216775612,2.82320472773475,-3.66631081727963,0.00207155253516076,0.678914239556367,-2.61976462754595
"ENSG00000182685","BRICD5",-0.640146914703438,-0.692463170111681,-3.65969906838947,0.00210074990691262,0.678914239556367,-3.89706569536252
"ENSG00000215252","GOLGA8B",-0.464707259936821,3.4991686110711,-3.65176736156193,0.00213632060910134,0.678914239556367,-2.39449783877257
"ENSG00000239927","RPP21",-2.62032301633806,-1.53519076490747,-3.64799229215468,0.00215346162476323,0.678914239556367,-4.06241241322743
"ENSG00000185101","ANO9",-0.475475764548211,3.15050332976492,-3.63150825544078,0.00222993691171433,0.678914239556367,-2.53833258976926
"ENSG00000123213","NLN",0.380798517299379,4.408438288326,3.61340273328087,0.00231707114229671,0.678914239556367,-2.32122805364547
