"","gene_symbol","RS08","RS09","RS27","RS23","RS02","RS31","RS21","RS34"
"ENSG00000000003","TSPAN6","6.17572130943133","6.00892347251657","5.8528903193677","6.33948234513177","6.17647462019944","6.19318648043909","6.17596058885685","5.98044824817045"
"ENSG00000000419","DPM1","9.01154136798832","8.89004892275654","9.41799660665254","9.21225434125705","9.05360154416072","9.35109203002982","9.26081892712772","9.32281784230268"
"ENSG00000000457","SCYL3","8.65967251355385","8.92564902512109","8.92090713171516","9.13431489906576","8.7485649316833","8.62910219743514","8.97970025335254","8.97257316238078"
"ENSG00000000460","FIRRM","7.14313920359184","7.25788006832082","7.82286810009497","7.20643585739698","7.06825091749555","7.04337040845325","7.33272428982189","7.16585575533154"
"ENSG00000000938","FGR","13.5607064111648","13.5170486035424","13.693353538586","13.3370160390613","13.3173314081553","13.5160737363339","13.5037878314028","12.8208558863343"
"ENSG00000000971","CFH","6.12873336024016","6.55404009668574","6.4209191940662","6.66190099570783","6.63315818459794","7.51379565055662","6.61144305277129","6.37190517376456"
"ENSG00000001036","FUCA2","10.4054991340888","9.66987972937488","10.3023894949179","10.1453603171981","10.0230019466668","9.83192258036988","9.91810206341092","8.99486850444645"
"ENSG00000001084","GCLC","9.67656949494861","10.0263471065301","9.97420505213107","9.88988129945321","9.36539825152311","9.32282544411804","9.75197201791412","9.78819201873971"
"ENSG00000001167","NFYA","9.84927951767789","10.0821506366088","9.94440241088317","10.1485260300106","9.81850898727877","8.99312672829543","10.0638592292294","9.89424976667116"
"ENSG00000001460","STPG1","7.03803427596208","6.98636861576762","6.66878402302571","7.06916779850771","7.00041792005749","7.29206524254344","6.75172659287969","7.41980349781969"
"ENSG00000001461","NIPAL3","9.89158761518265","9.91360402135141","9.44362341880266","10.039002782046","9.98235493106632","9.72708962592511","9.90149771281697","10.1544021702471"
"ENSG00000001497","LAS1L","9.71106513893892","9.6638656635349","9.66400852363119","9.60840765270284","9.63290917981104","9.66141297567671","9.615876703281","9.56119465624959"
"ENSG00000001561","ENPP4","9.05829298403335","8.44053931350947","8.67189083604565","8.66049894027512","8.68665811794682","9.10812441317475","8.75270652239052","9.39450999294263"
"ENSG00000001629","ANKIB1","9.88396792319445","10.5220055875721","10.3202597477631","10.2849159239125","9.76278749761883","8.94844821262937","10.0734932291152","10.4783607462421"
"ENSG00000001630","CYP51A1","8.92293095916255","8.42403916541458","8.65071419108361","8.54055497952608","8.62121333200588","8.24391453254789","8.38802693567212","8.29516395702354"
"ENSG00000001631","KRIT1","8.78867739743589","9.27203907404405","8.88524220249587","8.93904712477948","8.6634909634092","8.64237073525562","9.09925371495055","9.40197983715086"
"ENSG00000002016","RAD52","7.33423423741477","8.25701142786799","7.8781767266041","7.9497825687814","7.96805306079966","7.71117167923801","7.67370946875115","8.55352920530098"
"ENSG00000002330","BAD","8.82183645547481","8.26075287289174","8.29439730583377","8.39565487318767","8.55151768081336","8.9618318453437","8.09170433813289","8.00009409254197"
"ENSG00000002549","LAP3","11.7382635704378","10.8080938800448","11.501643503718","10.9874567772006","11.2649984916245","10.7127071662792","11.0172995450434","10.3735575280145"
"ENSG00000002586","CD99","11.4551521671778","11.2414032082752","11.3629647796431","11.2534408059286","11.5213444747084","12.2805206825674","11.1043631291819","10.9667687037477"
"ENSG00000002587","HS3ST1","6.67842298700594","7.60895004579065","6.46013576445754","6.3255398498832","7.07827067314187","5.66942767884126","6.8706554450327","7.05675375732571"
"ENSG00000002745","WNT16","6.42094928621391","6.42633518883693","6.61223857521644","6.85851095789686","6.27695704617808","6.03566812833311","6.92033578266152","6.57510049690302"
"ENSG00000002822","MAD1L1","10.178498034837","10.1303659071218","9.86706728304302","10.347025387508","10.729427912637","11.3085631080604","10.2376593479872","10.1464504619193"
"ENSG00000002834","LASP1","13.2111875984707","12.8108557321771","12.900903495881","12.9749314587044","12.9622249547971","13.0583423339594","12.8238493898618","12.5306850016824"
"ENSG00000002919","SNX11","9.87362209102194","9.30702553092173","9.93916147794822","9.75668551039034","9.63458683209456","9.6398457537292","9.53470003560116","9.68109591970512"
"ENSG00000002933","TMEM176A","7.66991312709352","10.0304336490873","10.559848261028","8.76179225467904","11.5198088287665","8.51385388696679","10.2963317087775","9.85610251662359"
"ENSG00000003056","M6PR","12.2334629441431","11.9847571964876","12.2833944156162","12.1592989504754","12.3172301040656","12.2208963617577","12.1466337045034","11.9465372417133"
"ENSG00000003096","KLHL13","6.6428489836366","6.18744140189802","6.09154054451853","6.49234414778271","6.42615321557449","5.82451395061097","6.35476576907596","6.41412154676305"
"ENSG00000003147","ICA1","7.21784936103648","6.66492916269221","7.15699189247227","7.35206796901053","7.05020773452144","6.13679381792283","6.59606334553328","6.85419313989992"
"ENSG00000003249","DBNDD1","6.77169941039226","7.26789118940926","7.17206918808435","7.13393519037762","7.18429891638642","7.30988569890519","7.28849314893906","8.10645531074278"
"ENSG00000003393","ALS2","8.20137916505952","8.07312953875755","8.64476873779333","8.46949340550337","8.13485416006754","8.25366750551192","8.38875789501897","8.45920879359178"
"ENSG00000003400","CASP10","9.99029263510225","9.9964817136516","10.1235825364305","10.1392590483736","9.81346134254296","9.54679974463991","10.0173755545605","10.0806737840861"
"ENSG00000003402","CFLAR","12.0157626747445","11.9913819890677","11.9340956604584","11.7254804348676","12.0296145444223","12.3592419195006","11.8395641177748","11.6910580282074"
"ENSG00000003436","TFPI","8.06926054807976","8.25239347858928","7.99273562738568","8.3086781238154","8.06160881054514","7.68111130744548","8.62057282455927","7.94069467765009"
"ENSG00000003509","NDUFAF7","7.34944651210153","7.87280519990342","7.63665709072007","7.69233853395628","7.61026650357959","7.72415520810597","7.72576982159669","7.69263078186625"
"ENSG00000003756","RBM5","10.1232763729339","10.9723765162729","10.9195272041949","10.9882900113918","10.5461731779425","11.2308201840471","10.9377770301885","11.5749676559174"
"ENSG00000003987","MTMR7","6.31283617582554","6.18658089508007","6.27561500285731","6.25142335730674","6.36320639239965","7.16651179538491","6.81630952492355","6.49481825028418"
"ENSG00000004059","ARF5","11.6579520729097","10.7400332304528","11.288438875572","11.1823539398129","11.5024491763066","11.6778172704581","11.1853268677816","10.8964071331483"
"ENSG00000004139","SARM1","9.28750367238513","9.46550755918134","8.49032115137873","8.88880063394388","9.43065431248978","8.77793864634358","8.92875252835699","9.07196107085477"
"ENSG00000004142","POLDIP2","10.4623001147764","10.4103159468634","10.3802156578158","10.3103340913767","10.4078179672762","10.7864285300008","10.4820234394622","10.1968300227775"
"ENSG00000004399","PLXND1","11.5658606445858","11.9235745804268","12.1991724137658","11.7011809396918","11.9280040266104","12.5341419223559","12.0491045673697","11.3626039809433"
"ENSG00000004455","AK2","11.5680017311531","10.663334281328","11.4448922488195","11.3166603865928","11.3862289949142","10.8848285636567","11.2126024150657","10.8572108424284"
"ENSG00000004468","CD38","9.28551725637854","9.32432966667819","9.0894212104963","8.91911913821064","9.27525673624389","8.32881130572753","9.3244387130107","9.48061322201158"
"ENSG00000004478","FKBP4","9.76537253788476","9.80043365761574","9.97195642411628","9.82380572322213","9.99457467638116","10.4299150252228","9.9582527839809","10.1306844223344"
"ENSG00000004487","KDM1A","10.286670720231","10.2848325085575","10.349667701882","10.2698703022841","10.1511329299632","10.6371980205183","10.3059600505543","10.4110344204558"
"ENSG00000004534","RBM6","9.90864098935408","11.4543000649835","10.8363385671597","11.0540246513808","10.158825239689","11.5208443256193","10.8299222952003","11.0648032757482"
"ENSG00000004660","CAMKK1","7.7138116911292","8.51826207062225","8.47479697061484","8.05848182775914","8.05106196530354","8.03496506893406","8.47284043034571","8.12428181988596"
"ENSG00000004700","RECQL","10.3913360234638","10.3000025340843","10.5382176276288","10.4450742507585","10.1836368970352","9.3027751011436","10.4522544305966","10.4164674565572"
"ENSG00000004766","VPS50","8.83121217269665","9.00435174473263","9.46509100578785","9.16728740401805","9.03373937462513","8.628908225672","9.17247327766725","9.08944533031935"
"ENSG00000004777","ARHGAP33","6.50308972146535","7.98155291296696","6.43470213933165","6.54371301641796","7.12777566639824","6.82291364426176","7.24260306889588","7.23120510536221"
"ENSG00000004779","NDUFAB1","9.34434267544021","8.76417542597164","9.36595097175307","8.90377633254612","9.10865474785181","9.3902080356258","9.03986301971745","9.01252814427364"
"ENSG00000004799","PDK4","9.91629623952354","9.78256339874349","10.1625461275251","10.0129462741128","8.32840201464432","9.05324989339562","10.0118188053794","8.75197951609199"
"ENSG00000004809","SLC22A16","6.13935228555356","6.79911845910066","6.73031215528041","6.88522525575069","6.94882443981058","6.98888465138067","6.66374075773554","5.69201087541777"
"ENSG00000004838","ZMYND10","5.7956786117413","6.15735232599474","5.82129804204739","6.10685620060111","6.34595781509003","7.12661400333588","6.05765248622075","6.18534585823102"
"ENSG00000004864","SLC25A13","8.3581604156096","8.0921220605879","8.04606995496155","7.81544611268002","7.88045138003251","8.22541348871572","8.06062927152247","8.19807845402988"
"ENSG00000004866","ST7","7.80757167879234","7.51598042655927","8.00620482629908","7.4697380966427","7.73793713818549","7.49230471286305","7.88499235798191","7.56969184246102"
"ENSG00000004897","CDC27","9.45101188038934","9.72940281061116","9.99760134635256","9.91370700048039","9.61356364705841","9.19091221159643","9.90886406852566","9.41873262756979"
"ENSG00000004961","HCCS","8.86375076183824","8.30536527334306","9.1682046674404","8.92711660045162","8.88061674002098","8.87132920039613","8.836954648559","8.43856409393073"
"ENSG00000004975","DVL2","9.63561399617332","9.89812321271591","8.98162497738324","9.61498557726846","9.68013086712307","9.61880902323849","9.23322049675093","9.49928483968955"
"ENSG00000005007","UPF1","11.5077165896112","11.4344786784183","10.9207463758385","11.0572737547105","11.261577410241","11.2367234701677","11.0820291876416","11.1984101026383"
