"","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000213145","CRIP1",-2.15388472725603,6.58933387661642,-6.01551280323702,9.88447197895965e-06,0.135793704629715,3.6196661178695
"ENSG00000277443","MARCKS",-1.34982788728344,7.22793155779118,-5.71954485330617,1.83865282824067e-05,0.135793704629715,3.05146294964676
"ENSG00000166428","PLD4",-2.06452200601695,5.94800924839462,-5.24428975346185,5.09146960979262e-05,0.152322124809017,2.10238399924471
"ENSG00000102030","NAA10",-1.19910866355037,4.69441614325162,-4.76798085029205,0.00014470272593577,0.152322124809017,1.13279039818379
"ENSG00000169692","AGPAT2",-1.6475891221071,5.27186980083613,-4.73378587782075,0.000156091950665579,0.152322124809017,1.0663930826963
"ENSG00000090857","PDPR",1.74226516412837,6.17075378137724,4.73311516885147,0.000156324227296768,0.152322124809017,1.06379163732182
"ENSG00000135968","GCC2",1.25604097453765,6.07440107436001,4.70716054352599,0.000165587644540903,0.152322124809017,1.01058404395441
"ENSG00000158710","TAGLN2",-1.51730191498726,9.48991761227961,-4.67562435343296,0.000177597187320921,0.152322124809017,0.941273725553153
"ENSG00000080224","EPHA6",5.98722136097079,-3.31385638116732,4.65558965358515,0.00018568241858908,0.152322124809017,-2.28434987724862
"ENSG00000188177","ZC3H6",1.66974154046932,4.10845885226421,4.57861335968995,0.000220380325711655,0.152322124809017,0.731932127134391
"ENSG00000104643","MTMR9",3.01840236163044,3.40168377284518,4.57091386244271,0.000224194279664186,0.152322124809017,0.634166894908146
"ENSG00000113504","SLC12A7",-2.60424312110654,5.77787507967643,-4.5600205286357,0.000229704864068578,0.152322124809017,0.708045807162288
"ENSG00000038219","BOD1L1",1.67846804822582,6.60468758098218,4.55481451546824,0.000232386685988785,0.152322124809017,0.693265753283672
"ENSG00000168159","RNF187",-1.47060615051966,5.86388916131751,-4.51778962096927,0.000252397299734946,0.152322124809017,0.618916918049152
"ENSG00000158987","RAPGEF6",1.44381419971781,6.40872757172058,4.51086770700804,0.000256327678714327,0.152322124809017,0.602822500666241
"ENSG00000155366","RHOC",-1.54323356533366,6.32177545639772,-4.50818455090632,0.000257867833170714,0.152322124809017,0.595275612233676
"ENSG00000172575","RASGRP1",1.19454317785242,6.7973136284697,4.48689164713177,0.000270427047881766,0.152322124809017,0.54992174592105
"ENSG00000275074","NUDT18",-1.34094139348993,3.84747906757578,-4.45226475494583,0.000292187212524684,0.152322124809017,0.479079052496814
"ENSG00000139926","FRMD6",2.97863644686319,1.3244670742475,4.43475190656577,0.000303858666761377,0.152322124809017,-0.0670279116415786
"ENSG00000211689","TRGC1",3.43294402161022,4.29846132714934,4.39636547460354,0.000331117574124264,0.152322124809017,0.370246165196274
"ENSG00000156564","LRFN2",-4.97417039090367,-0.778340788069989,-4.38893657383531,0.000336671868139398,0.152322124809017,-0.94779884291338
