"","RS08","RS09","RS27","RS23","RS02","RS31","RS21","RS34"
"ENSG00000000003",15.1496192413487,9.86169775164548,5.98533657439577,21.5585715350835,15.176281178475,15.7743382666273,15.1580852966788,9.0786922080069
"ENSG00000000419",440.695984454726,399.274343421294,607.921060706231,517.347475098385,455.878617520729,577.028535747851,537.568475664618,564.400735642578
"ENSG00000000457",329.815202748938,411.048115826013,409.462815360626,486.297375233764,355.289760396049,321.41739144308,429.496298626253,427.023517517442
"ENSG00000000460",73.827096307931,84.6972458861302,154.813907767883,79.7002115156401,67.2560464190303,65.1606274465624,92.3393769131841,75.9006084825107
"ENSG00000000938",12004.8624027823,11644.6924478349,13168.4976827596,10269.4088494636,10129.1827554717,11636.7737016408,11537.4338686141,7157.21325534509
"ENSG00000000971",13.5366941762054,31.9216723298448,25.2198647347559,38.0381955177741,36.3461016428343,112.771997462497,35.0979662561279,22.9774627330019
"ENSG00000001036",1279.07576327224,738.05439207494,1185.60512171905,1055.51437758353,963.540669308132,834.681197525065,890.684218816419,434.800338898957
"ENSG00000001084",741.831552151943,965.952544326816,928.988136725923,871.97428721617,583.513579249311,564.404097363818,785.64435338259,807.52181802744
"ENSG00000001167",845.692098422397,1007.02532174986,908.454621011644,1057.99929498429,826.262493065867,434.188401922917,993.386505981914,874.846545491969
"ENSG00000001460",64.7168037021621,60.5199501512068,38.450233608566,67.3340892459476,61.6433298354404,88.1321176903017,43.6273200472572,101.810705852643
"ENSG00000001461",873.09514781045,887.677431581784,620.141291745984,975.128254897735,934.67774679303,770.931399572021,879.631348233171,1062.62626824302
"ENSG00000001497",761.590142722863,734.673731223967,734.753872493565,704.157731142184,717.494561463301,733.29907179909,708.199241324067,679.091671109577
"ENSG00000001561",457.60001753119,273.449592636247,333.222689782549,330.044753471072,337.380466795261,476.237820546334,356.516027856187,596.911668378889
"ENSG00000001629",868.100130422162,1393.06453839718,1201.32913722796,1170.41769210794,792.119425232198,418.744428761892,1000.54839422836,1349.279389151
"ENSG00000001630",410.138771688991,269.549636318047,327.335492529605,298.093024152657,319.279573217625,229.830315485215,261.195205086563,240.616123128086
"ENSG00000001631",367.318349065478,542.338661828931,397.707094858157,415.555974720796,330.876948170144,325.040052571976,472.872260872173,600.39362357838
"ENSG00000002016",92.4982118239375,232.549115551605,163.407563844231,175.063276518634,178.136100518753,138.491519110065,133.313005912482,301.419840309992
"ENSG00000002330",377.52155429401,233.330502617641,240.451844184238,262.946963360381,300.902045372796,423.320045936139,200.039506908305,183.624569528715
"ENSG00000002549",3338.46216304781,1715.3818277413,2821.74736361131,1952.63479497487,2383.17916402965,1600.73185390261,1995.05371106949,1249.40151185622
"ENSG00000002586",2729.81331882057,2343.26799056375,2556.05346675184,2363.54785449671,2861.60790214555,4897.05311408205,2123.94503085592,1923.73962917389
"ENSG00000002587",39.0317223374575,124.695854403681,27.1000347620104,20.9639821298794,68.1121033263189,2.68857156937001,51.7591349438275,66.2824178442201
"ENSG00000002745",25.2212779232819,25.474937534233,35.1432356038382,50.8891579622769,18.9642800423534,10.6284223620068,55.4147186850065,33.0664674050251
"ENSG00000002822",1081.79855665129,1043.81852889214,857.115099640675,1225.24823644461,1620.28480074515,2458.60645706062,1130.25532443151,1056.36946668343
"ENSG00000002834",9405.16174770495,7107.23544671657,7570.00217872929,7972.6814821917,7902.08653868544,8451.85968924998,7172.24139952348,5839.00927276667
